Quarter,Game Clock (s),Basket,Boxer ID,Target ID,Boxer Team,Target Team,Boxer Distance to Basket (ft),Target Distance to Basket (ft),Distance Between Players (ft)
Q3,570.58,Right,201587,202685,1610612766,1610612761,2.36,3.15,3.94
Q3,549.86,Right,203798,202685,1610612766,1610612761,1.93,3.0,1.51
Q3,549.86,Right,200768,202689,1610612761,1610612766,8.19,10.85,3.21
Q3,539.0,Right,203469,201960,1610612766,1610612761,8.46,10.31,1.99
Q3,539.0,Right,101107,2449,1610612766,1610612761,3.9,5.39,2.05
Q3,522.48,Left,201960,201587,1610612761,1610612766,7.82,8.9,1.42
Q3,522.48,Left,203469,2449,1610612766,1610612761,2.14,3.65,2.05
Q3,520.0,Left,202685,201587,1610612761,1610612766,7.14,9.69,3.54
Q3,505.14,Right,202689,202685,1610612766,1610612761,1.89,2.46,2.34
Q3,505.14,Right,2449,101107,1610612761,1610612766,3.22,4.75,3.81
Q3,456.86,Right,203469,202685,1610612766,1610612761,4.48,6.34,1.86
Q3,456.86,Right,2449,101107,1610612761,1610612766,5.91,8.12,2.21
Q3,428.11,Left,202685,101107,1610612761,1610612766,6.29,6.64,1.63
Q3,428.11,Left,201942,203469,1610612761,1610612766,6.72,8.13,2.07
Q3,419.19,Right,203469,2449,1610612766,1610612761,7.2,8.04,2.98
Q3,419.19,Right,201960,101107,1610612761,1610612766,11.02,15.25,4.41
Q3,416.59,Right,2449,201587,1610612761,1610612766,3.67,5.08,2.3
Q3,416.59,Right,201960,203798,1610612761,1610612766,4.4,5.71,2.33
Q3,403.49,Left,202685,203469,1610612761,1610612766,4.9,7.12,3.53
Q3,381.33,Right,2449,101107,1610612761,1610612766,0.82,2.32,1.7
Q3,381.33,Right,203469,202685,1610612766,1610612761,4.78,6.81,2.04
Q3,370.69,Left,201942,202689,1610612761,1610612766,13.07,16.74,4.07
Q3,370.69,Left,203469,202685,1610612766,1610612761,3.44,3.63,4.38
Q3,347.25,Right,202685,203469,1610612761,1610612766,4.66,5.04,1.38
Q3,347.25,Right,201587,201960,1610612766,1610612761,11.41,13.13,1.87
Q3,347.25,Right,202689,200768,1610612766,1610612761,4.65,7.7,3.21
Q3,325.93,Left,101107,201942,1610612766,1610612761,5.82,7.45,2.01
Q3,325.93,Left,203469,201960,1610612766,1610612761,1.91,3.82,2.13
Q3,305.5,Right,203469,202685,1610612766,1610612761,4.04,4.67,1.74
Q3,305.5,Right,203798,2449,1610612766,1610612761,10.12,10.98,2.66
Q3,288.58,Right,202685,203469,1610612761,1610612766,4.11,5.92,1.82
Q3,261.58,Left,203798,201942,1610612766,1610612761,12.05,12.06,2.33
Q3,261.58,Left,202685,203469,1610612761,1610612766,7.42,11.35,4.24
Q3,250.94,Right,200768,1626163,1610612761,1610612766,2.88,4.23,1.99
Q3,250.94,Right,202687,203469,1610612761,1610612766,5.55,7.47,2.93
Q3,250.94,Right,202689,202335,1610612766,1610612761,3.83,5.24,4.3
Q3,249.94,Right,202689,202335,1610612766,1610612761,3.02,3.19,1.51
Q3,249.94,Right,200768,1626163,1610612761,1610612766,2.68,4.61,2.0
Q3,249.94,Right,202687,203469,1610612761,1610612766,2.5,4.6,2.1
Q3,226.0,Right,202687,201587,1610612761,1610612766,9.52,12.64,3.33
Q3,226.0,Right,1626163,202335,1610612766,1610612761,7.19,9.53,4.09
Q3,207.49,Left,201942,203469,1610612761,1610612766,13.33,16.95,4.15
Q3,193.29,Right,202687,203469,1610612761,1610612766,2.49,3.5,1.23
Q3,159.89,Right,202709,202689,1610612761,1610612766,1.61,3.09,2.0
Q3,159.89,Right,202687,203469,1610612761,1610612766,2.73,3.75,2.81
Q3,132.78,Right,203087,202335,1610612766,1610612761,3.73,4.62,1.4
Q3,132.78,Right,201587,201942,1610612766,1610612761,10.8,14.17,3.92
Q3,122.46,Right,203469,202687,1610612766,1610612761,7.19,8.86,1.7
Q3,122.46,Right,202709,1626163,1610612761,1610612766,2.32,3.76,2.36
Q3,90.3,Right,201942,203148,1610612761,1610612766,11.96,13.31,1.56
Q3,90.3,Right,202687,201587,1610612761,1610612766,4.96,7.36,2.52
Q3,64.13,Left,201946,202687,1610612766,1610612761,2.83,4.08,2.65
Q3,64.13,Left,202335,203087,1610612761,1610612766,5.61,7.07,4.2
Q3,47.23,Right,201946,202687,1610612766,1610612761,7.24,7.8,1.6
Q3,34.16,Left,202687,201946,1610612761,1610612766,10.21,13.0,2.92
Q3,1.89,Left,203148,202709,1610612766,1610612761,3.08,5.05,2.53
Q4,708.12,Right,203148,203082,1610612766,1610612761,10.45,12.05,2.01
Q4,708.12,Right,202687,201946,1610612761,1610612766,2.51,4.64,2.17
Q4,686.0,Left,203087,200768,1610612766,1610612761,4.17,4.66,0.52
Q4,686.0,Left,203082,201587,1610612761,1610612766,11.35,14.93,3.86
Q4,682.84,Left,202709,201946,1610612761,1610612766,12.94,14.08,1.71
Q4,672.36,Right,202687,201946,1610612761,1610612766,3.16,3.83,1.56
Q4,663.86,Right,202687,1626163,1610612761,1610612766,2.52,4.35,2.03
Q4,646.32,Left,202687,201946,1610612761,1610612766,6.19,8.74,3.62
Q4,646.32,Left,202709,203087,1610612761,1610612766,12.75,16.44,3.89
Q4,621.3,Right,202687,201946,1610612761,1610612766,2.73,2.76,0.96
Q4,621.3,Right,202709,203087,1610612761,1610612766,4.91,6.45,2.14
Q4,584.64,Left,1626163,200768,1610612766,1610612761,3.72,5.25,2.29
Q4,584.64,Left,202687,201946,1610612761,1610612766,11.3,14.85,3.98
Q4,558.37,Left,203087,202709,1610612766,1610612761,6.68,6.99,2.2
Q4,558.37,Left,203082,1626163,1610612761,1610612766,13.71,15.92,2.34
Q4,558.37,Left,202687,201946,1610612761,1610612766,5.19,8.93,3.77
Q4,548.09,Right,202687,201946,1610612761,1610612766,3.74,5.56,2.22
Q4,548.09,Right,202335,201587,1610612761,1610612766,6.71,10.15,3.57
Q4,532.38,Left,202687,201946,1610612761,1610612766,2.63,4.07,1.49
Q4,517.81,Right,201946,202687,1610612766,1610612761,2.47,4.19,2.1
Q4,511.9,Right,202709,203469,1610612761,1610612766,3.73,5.14,2.78
Q4,511.9,Right,202687,203087,1610612761,1610612766,5.32,8.21,4.28
Q4,483.99,Left,202335,202689,1610612761,1610612766,14.4,17.32,3.09
Q4,483.99,Left,203469,202687,1610612766,1610612761,3.83,4.37,3.3
